experiment_id,scenario_generator,scenario_variant_id,seed,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_tuning_type,method_tuning_seed_count,method_tuning_validation_seed_count,method_tuning_artifact,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n_robots,n_loads,capacity_ratio,robot_payload_mean_kg,robot_payload_cv,load_mass_cv,battery_variation,communication_radius,distance_decay_m,oracle_runtime_ms,capacity_oracle_runtime_ms,capacity_success_rate,served_load_rate,capacity_satisfaction_ratio,demand_satisfaction_ratio,coalition_success_rate,under_capacity_kg,over_capacity_kg,capacity_waste_ratio,mean_capacity_margin_kg,nominal_payload_assigned_kg,effective_capacity_assigned_kg,incomplete_capacity_kg,incomplete_capacity_ratio,served_capacity_alignment,robots_underassigned,robots_overassigned,travel_distance_m,estimated_arrival_time_s,energy_proxy_wh,score_value,oracle_score_value,signed_score_delta_vs_oracle,oracle_dominance_violation,optimality_gap_vs_oracle,capacity_oracle_satisfaction_ratio,capacity_oracle_success_rate,effective_feasibility_ratio,capacity_gap_vs_capacity_oracle,signed_capacity_delta_vs_capacity_oracle,priority_regret,communication_messages,communication_coverage_ratio,runtime_ms,captured_reward,oracle_reward,assigned_robots,idle_robots,assignment_cost,mean_assigned_travel_distance_m,max_assigned_travel_distance_m,strategy_switches
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,greedy_capacity_nearest,Greedy capacity nearest,classic,decentralized,baseline,nearest_capacity_greedy,classic_decentralized_baseline,none,distributed_capacity_greedy_rule,local_robot_load_distance_capacity,0,0,0,0,0,0,0,,0,0,,False,False,,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.6666666666666666,0.6666666666666666,0.7327528616947336,0.7327528616947336,0.6666666666666666,37.89308184642838,33.62154439881624,0.24448676232970684,-1.4238458158707132,315.08980444696965,137.5188745535242,21.94012562668638,0.15954264967567772,0.7888287832419129,0,3,66.37938000698452,34.4054128855677,394.16274493281935,259.88079070960583,295.3657837628397,-35.48499305323389,False,0.12013914611628179,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.20536426552417975,-0.18937136441761515,0.5657391014270505,18,1.0,0.19449996761977673,4.660763021970722,5.226502123397773,6,0,66.37938000698452,11.063230001164087,19.622585637604235,0
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,hungarian_capacity,Hungarian capacity expanded,classic,centralized,baseline,hungarian_capacity_expanded,classic_centralized_baseline,none,centralized_capacity_slot_assignment,centralized_all_robot_load_pairs,0,0,0,0,0,0,0,,0,0,,False,False,,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.3333333333333333,0.3333333333333333,0.6086661862830616,0.6086661862830616,0.3333333333333333,55.487382676900644,24.505463024446776,0.2211514885279291,-10.327306550817957,241.6761711748764,110.80849234868249,26.469821851120948,0.2388790000664211,0.6932920888364731,0,1,37.924142280613694,27.284637683591626,236.6590288337315,178.64922807489228,295.3657837628397,-116.71655568794745,False,0.3951593654519697,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.33993038134440734,-0.3134580398292872,2.5060666561621607,18,1.0,0.1805999781936407,2.720435467235612,5.226502123397773,4,2,37.924142280613694,9.481035570153423,17.22216464182232,0
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,centralized_capacity_milp,Centralized capacity oracle,model_based_oracle,centralized,reference,exact_effective_capacity_milp,centralized_oracle_reference,none,centralized_binary_milp_effective_capacity,centralized_all_robot_load_pairs,0,0,3,0,0,0,0,,0,0,,False,False,,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.6666666666666666,0.6666666666666666,0.9143003743867689,0.9143003743867689,0.6666666666666666,12.15138522404316,6.779954740882474,0.049699496840101325,-1.790476827720229,315.08980444696965,136.41898151797568,27.41069526538442,0.20093021484530407,0.7885613927624162,0,3,65.57429952711384,24.947514434693854,367.08205969462995,295.3657837628397,295.3657837628397,0.0,False,0.0,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.00848459622253394,-0.007823851725579867,0.0,18,1.0,9.355299989692867,5.226502123397773,5.226502123397773,6,0,65.57429952711384,10.929049921185639,18.612213770882207,0
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,cbba_capacity,CBBA capacity auction,sota,decentralized,baseline,cbba_payload_capacity_proxy,sota_decentralized_baseline,none,distributed_payload_auction_proxy,auction_bids_capacity_deficit,0,0,3,0,0,0,0,,0,0,,False,False,,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.6666666666666666,0.6666666666666666,0.8816870547824885,0.8816870547824885,0.6666666666666666,16.775641247458818,12.816931898990191,0.09298972335333129,-1.3195697828228756,315.08980444696965,137.83170265266773,22.78643924196876,0.16532074118963755,0.8177300241835747,0,3,66.27863774084277,37.47531939844604,388.4769072861383,283.6689681180779,295.3657837628397,-11.696815644761841,False,0.0396011193163581,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.043852194948117006,-0.040437171329860244,0.0,18,1.0,0.42129994835704565,5.226502123397773,5.226502123397773,6,0,66.27863774084277,11.046439623473795,21.373458491499367,0
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,replicator_capacity,Replicator capacity,model_based,decentralized,baseline,population_game_capacity,model_based_decentralized_baseline,model_based_tuning_optional,distributed_capacity_utility_rule,local_capacity_deficit_scores,0,0,4,0,0,0,0,tune_model_based,8,6,outputs\tuning\SP2\model_based\v1\best_params.yaml,False,False,,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.6666666666666666,0.6666666666666666,0.8428496208335906,0.8428496208335906,0.6666666666666666,22.282417008139973,12.31669826019764,0.09343240599499149,-3.321906249314111,315.08980444696965,131.82469325319403,20.11270703045404,0.15257162018821327,0.8317040878174492,0,3,70.30477145518148,27.352597906232408,389.8299345657108,271.74925318446265,295.3657837628397,-23.61653057837708,False,0.07995689371162802,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.08596955055934037,-0.07927460527875818,0.3513702903535991,18,1.0,0.25649997405707836,4.875131833044174,5.226502123397773,6,0,70.30477145518148,11.717461909196913,18.612213770882207,0
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,bnn_capacity,BNN capacity,model_based,decentralized,baseline,bnn_capacity_utility,model_based_decentralized_baseline,model_based_tuning_optional,distributed_nonlinear_capacity_rule,local_capacity_deficit_scores,0,0,5,0,0,0,0,tune_model_based,8,6,outputs\tuning\SP2\model_based\v1\best_params.yaml,False,False,,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.6666666666666666,0.6666666666666666,0.8816870547824885,0.8816870547824885,0.6666666666666666,16.775641247458818,12.816931898990191,0.09298972335333129,-1.3195697828228756,315.08980444696965,137.83170265266773,22.78643924196876,0.16532074118963755,0.8177300241835747,0,3,66.27863774084277,37.47531939844604,388.4769072861383,283.6689681180779,295.3657837628397,-11.696815644761841,False,0.0396011193163581,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.043852194948117006,-0.040437171329860244,0.0,18,1.0,0.2880999818444252,5.226502123397773,5.226502123397773,6,0,66.27863774084277,11.046439623473795,21.373458491499367,0
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,smith_capacity,Smith-QR capacity,model_based,decentralized,proposed,smith_qr_effective_capacity,proposed_model_based_variation,model_based_tuning_optional,distributed_smith_qr_capacity_rule,local_effective_capacity_scores,0,0,4,0,0,0,0,tune_model_based,8,6,outputs\tuning\SP2\model_based\v1\best_params.yaml,False,False,,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.6666666666666666,0.6666666666666666,0.8816870547824885,0.8816870547824885,0.6666666666666666,16.775641247458818,12.816931898990191,0.09298972335333129,-1.3195697828228756,315.08980444696965,137.83170265266773,22.78643924196876,0.16532074118963755,0.8177300241835747,0,3,66.27863774084277,37.47531939844604,388.4769072861383,283.6689681180779,295.3657837628397,-11.696815644761841,False,0.0396011193163581,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.043852194948117006,-0.040437171329860244,0.0,18,1.0,0.2242999617010355,5.226502123397773,5.226502123397773,6,0,66.27863774084277,11.046439623473795,21.373458491499367,0
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,primal_dual_capacity,Primal-dual capacity,model_based,decentralized,proposed,primal_dual_effective_capacity,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_capacity_rule,local_capacity_prices,0,0,5,0,0,0,0,tune_model_based,8,6,outputs\tuning\SP2\model_based\v1\best_params.yaml,False,False,,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.6666666666666666,0.6666666666666666,0.8495259522389279,0.8495259522389279,0.6666666666666666,21.335777227521064,11.878095773723643,0.08975931898778838,-3.15256048459914,315.0898044469696,132.33273054733894,18.226303261906516,0.13773087872154563,0.8486874058755699,0,3,75.02694645626323,37.47531939844604,429.3655336031407,272.1335620749676,295.3657837628397,-23.23222168787214,False,0.07865576503785612,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.07872938571356408,-0.07259827387342088,0.0,18,1.0,0.5296999588608742,5.226502123397773,5.226502123397773,6,0,75.02694645626323,12.504491076043871,21.373458491499367,0
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,local_primal_dual_capacity,Local primal-dual capacity,model_based,decentralized_local,proposed,local_primal_dual_effective_capacity,proposed_local_variation,model_based_tuning_optional,local_primal_dual_capacity_rule,radius_limited_capacity_scores,0,0,5,0,0,0,0,tune_model_based,8,6,outputs\tuning\SP2\model_based\v1\best_params.yaml,False,False,,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.6666666666666666,0.6666666666666666,0.8495259522389279,0.8495259522389279,0.6666666666666666,21.335777227521064,11.878095773723643,0.08975931898778838,-3.15256048459914,315.0898044469696,132.33273054733894,18.226303261906516,0.13773087872154563,0.8486874058755699,0,3,75.02694645626323,37.47531939844604,429.3655336031407,272.1335620749676,295.3657837628397,-23.23222168787214,False,0.07865576503785612,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.07872938571356408,-0.07259827387342088,0.0,18,1.0,0.5494999932125211,5.226502123397773,5.226502123397773,6,0,75.02694645626323,12.504491076043871,21.373458491499367,0
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,imitation_capacity,Data-driven capacity imitation,data_driven,decentralized,baseline,oracle_capacity_imitation_linear,data_driven_baseline,supervised_oracle_imitation,distributed_linear_capacity_score_policy,local_robot_load_capacity_features,8,8,1,0,24,10,10,,0,0,,False,False,sp2-imitation-capacity-linear-v2,supervised_or_static,6,3,0.45,45.0,0.28,0.45,True,inf,22.0,20.59410000219941,15.321500017307699,0.6666666666666666,0.6666666666666666,0.7133511250228939,0.7133511250228939,0.6666666666666666,40.6440620826661,34.23023292074591,0.2528519497452556,-2.137943053973397,315.08980444696965,135.37658283921616,19.189145390448658,0.1417464157241965,0.8102833626135179,0,3,64.94356386218223,27.284637683591626,378.5503084411753,255.28086118973476,295.3657837628397,-40.08492257310496,False,0.13571281704481603,0.9221242261123488,0.3333333333333333,0.9221242261123488,0.22640452899674565,-0.2087731010894549,0.5657391014270505,18,1.0,11.775000020861626,4.660763021970722,5.226502123397773,6,0,64.94356386218223,10.823927310363706,17.22216464182232,0
