sample_id,claim_id,stratum,stratum_ordinal,selection_rule,verdict,evidence_level,evidence_ref
CLM001,C001,front,1,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,design-contract,"charter and active methodology"
CLM002,C004,front,4,"ordered by path/line/id; take ordinals 1,4,7,...",aligned-scoped,audited-simulation,"E2/E3/E4/E6/E7/Cargo bundles"
CLM003,C007,front,7,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,explicit-limitation,"scope audit"
CLM004,C009,methods-framework,1,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,design-contract,"methods physical model"
CLM005,C012,methods-framework,4,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,audited-design,"Cargo ablation implementation"
CLM006,C015,methods-framework,7,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,provenance-audit,"E2-E4/Cargo manifests"
CLM007,C018,methods-framework,10,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,primary-synthesis,"Tsitsiklis primary assumptions"
CLM008,C021,methods-framework,13,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,primary-source,"Yi/Franci primary papers"
CLM009,C024,methods-framework,16,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,primary-synthesis,"MAPF primary literature and E7 scope"
CLM010,C025,SP1,1,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,formal-proof,"active quota theorem proof"
CLM011,C028,SP1,4,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,formal-proof,"appendices/04-sp2-proofs.tex"
CLM012,C031,SP1,7,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,audited-simulation,"E2 generated comparison"
CLM013,C034,SP1,10,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,formal-counterexample,"E3 residual counterexample/tests"
CLM014,C037,SP2,1,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,formal-proof,"canonical kinematic bridge/tests"
CLM015,C040,SP2,4,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,formal-proof,"appendices/06-sp4-proofs.tex"
CLM016,C043,SP2,7,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,audited-simulation,"E4 contrasts"
CLM017,C046,SP2,10,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,formal-proof,"active SP6 proof"
CLM018,C049,SP2,13,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,audited-simulation,"SP6 audit/results"
CLM019,C052,SP2,16,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,audited-simulation,"Cargo audit/results"
CLM020,C055,SP2,19,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,audited-simulation,"Cargo E2E-H1"
CLM021,C056,SP3,1,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,formal-proof,"appendices/08-sp7-proofs.tex"
CLM022,C059,SP3,4,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,audited-simulation,"SP7 audit/results"
CLM023,C062,SP3,7,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,pilot-negative-result,"AWS generated macros"
CLM024,C063,conclusions,1,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,mixed-evidence,"active evidence synthesis"
CLM025,C066,conclusions,4,"ordered by path/line/id; take ordinals 1,4,7,...",aligned,claim-governance,"active hypothesis table"
