source_path,locator,label,type,assumptions,domain,units,proof_status,dependencies,counterexample_check,claim_id,evidence_id,verdict,rationale,auditor,result_id,title,recommended_destination
"paper/megajuego.tex","L290-L301","pr:cota","proposicion","Parcial: declara cuasiestática y empuje longitudinal; omite plano nivelado, reparto normal igual y signo admisible del par neto.","Rueda motriz ideal y contacto rueda-suelo sin transferencia de carga; no cubre el Pioneer identificado ni saturación dinámica.","Par/radio produce N y la cota de adherencia produce N; falta exigir que bar_tau-b_w omega sea no negativo.","PARTIAL","eq:ruedas; coeficiente mu_sd; parámetros de rueda y masa.","La transferencia de carga o una velocidad con b_w omega>bar_tau invalida m_i g/2 y la fórmula positiva tal como está escrita.","NONE","NONE","CANDIDATE","La deducción cuasiestática es recuperable, pero requiere hipótesis mecánicas y convención de valor absoluto antes de sostener una cota física.","formal_audit_a","PAPER-FR-0001-pr:cota","La cota de esfuerzo es un dato del actuador","monograph-candidate"
"paper/megajuego.tex","L394-L407","th:noequiv","teorema","Parcial: fija capacidades efectivas y tres interfaces, pero no define con precisión el objetivo relajado ni el grafo de revisión del inciso c.","Asignación estática heterogénea con capacidad aditiva; mezcla perfiles continuos, enteros y alcanzabilidad topológica.","e_ik y D_k deben compartir unidades; los valores del inciso b carecen de unidad/función objetivo explícita.","PARTIAL","eq:cadena; th:descomposicion; definición de S_k y D_k.","El inciso b no es verificable sin definir cómo una solución fraccionaria obtiene valor 2; el inciso c se hace cierto de forma trivial escogiendo una componente singleton.","NONE","NONE","CANDIDATE","Los contraejemplos expresan fronteras útiles, pero el resultado combina tres modelos sin formalización suficiente para promoverlo.","formal_audit_a","PAPER-FR-0002-th:noequiv","Principio de no equivalencia","monograph-candidate"
"paper/megajuego.tex","L426-L432","pr:degeneracion","proposicion","Explícitos: dos cargas, demanda unitaria y capacidad total unitaria en la demostración.","Déficit agregado lineal bajo escasez; perfiles de servicio continuos no negativos.","D_k y S_k son homogéneos; D matemática conserva esa unidad.","COMPLETE","Definición de S_k; resultado canónico C1B-SP1.","El ejemplo (1/2,1/2) frente a (1,0) verifica igualdad de déficit y distinta completitud.","C1B-SP1","src/viu_mrob_tfm/sp1/theory.py; tests/test_sp1_theory.py; results/sp1/SP1_QUORUM_v1/tables/theory_checks.csv","DUPLICATE","Es la misma degeneración bajo escasez ya demostrada, probada y trazada en el spine activo.","formal_audit_a","PAPER-FR-0003-pr:degeneracion","El déficit lineal no distingue servicio","existing-active-claim"
"paper/megajuego.tex","L440-L445","co:lexico","corolario","Hereda los dos perfiles y el déficit de pr:degeneracion; no exige hipótesis adicionales.","Todo objetivo que factoriza únicamente por el valor escalar D en esos perfiles.","Misma unidad que el objetivo compuesto; el término de completitud debe normalizarse antes de sumarse.","DERIVED","pr:degeneracion; resultado canónico C1B-SP1.","Los perfiles testigo tienen igual D, por lo que cualquier función de D empata; no prueba que el único remedio posible sea lexicográfico.","C1B-SP1","src/viu_mrob_tfm/sp1/theory.py; tests/test_sp1_theory.py; results/sp1/SP1_QUORUM_v1/tables/theory_checks.csv","DUPLICATE","La parte lógica ya está cubierta por el contraejemplo canónico; la recomendación de diseño no es un corolario único.","formal_audit_a","PAPER-FR-0004-co:lexico","Necesidad de un objetivo lexicográfico","existing-active-claim"
"paper/megajuego.tex","L464-L469","le:aditividad","lema","Declara independencia condicional dado o_c; falta exigir probabilidades estrictamente entre cero y uno y un prior común.","Fusión binaria de una sola celda con medidas condicionadamente independientes.","Log-odds es adimensional.","COMPLETE_WITH_GAPS","Definición de log-odds; modelo inverso de sensor; Bayes.","Medidas correlacionadas por solape cuentan evidencia dos veces, caso que la propia fuente reconoce.","NONE","NONE","CANDIDATE","La identidad es estándar y correcta con contribuciones de likelihood bien definidas, pero la notación ell_c(y_j)-ell_c^0 necesita fijarse.","formal_audit_a","PAPER-FR-0005-le:aditividad","Aditividad","monograph-candidate"
"paper/megajuego.tex","L489-L501","th:mapa","teorema","Grafo no dirigido conexo y 0<epsilon<2/lambda_max; usa implícitamente inicialización consistente con las contribuciones log-odds.","Consenso lineal discreto sobre Laplaciano simétrico fijo.","Variables y paso son adimensionales.","INVALID","eq:consenso; le:aditividad; espectro de L.","Para epsilon>1/lambda_max puede dominar |1-epsilon lambda_max| y 1-epsilon lambda_2 puede ser negativo; la cota mostrada deja de ser una norma superior válida.","NONE","NONE","REJECT","La tasa correcta es max_{j>=2}|1-epsilon lambda_j|, o requiere una restricción de paso más fuerte; el teorema es falso como está.","formal_audit_a","PAPER-FR-0006-th:mapa","El consenso sobre log-odds recupera el posterior centralizado","archive-only"
"paper/megajuego.tex","L555-L560","pr:notiron","proposicion","Complementariedad unilateral y fricción de Coulomb; contacto puntual sin adhesión.","Contacto planar unilateral: g>=0, lambda_n>=0 y |lambda_t|<=mu lambda_n.","g en m y fuerzas en N; la conclusión fuerza cero es dimensionalmente consistente.","COMPLETE","eq:complementariedad; eq:coulomb; C-SP2-EL-CONTACT-MODEL.","La adhesión o una fuerza de largo alcance violaría la premisa, no el resultado.","C-SP2-EL-CONTACT-MODEL","Subdocuments/SP2/sp2.tex; docs/05_NOTATION.md","DUPLICATE","Es una consecuencia directa del modelo unilateral ya delimitado en el resultado activo de contacto Cargo/caging.","formal_audit_a","PAPER-FR-0007-pr:notiron","No existe tirón normal","existing-active-claim"
"paper/megajuego.tex","L575-L587","th:span","teorema","Lambda=R_+^m y columnas fijas; no incluye cotas, fricción ni acoplamiento vertical.","Cono poliédrico generado por columnas en R^3.","Las columnas mezclan fuerza/momento si no se aplica S_W; d_1 no es físicamente interpretable antes de normalizar.","PARTIAL","def:span; G_k; separación/polaridad de conos.","Tres columnas de rango tres dentro de un semiespacio confirman que rango no basta; la prueba iii=>ii se enuncia sin el argumento del cono polar.","NONE","NONE","CANDIDATE","La equivalencia de generación positiva es válida, pero debe expresarse con columnas normalizadas y cerrar la prueba por polaridad/separación.","formal_audit_a","PAPER-FR-0008-th:span","Caracterización exacta de la realizabilidad","monograph-candidate"
"paper/megajuego.tex","L634-L644","th:cert","teorema","Conjunto admisible convexo y epsilon_lambda>0; confunde el minimizador regularizado con el minimizador del residual.","QP regularizado sobre Lambda_k.","Residual Q es adimensional si Q está normalizada; el término regularizador necesita escala compatible declarada.","INVALID","eq:qp; s:admisible.","Escalar G=1, d=1, epsilon_lambda=100 y epsilon_W=0.5: lambda=1 tiene residual 0, pero el minimizador regularizado lambda=1/101 tiene residual 100/101>0.5.","NONE","NONE","REJECT","La regularización sí puede modificar el residual; existencia de un punto tolerable no equivale a tolerancia en el óptimo regularizado.","formal_audit_a","PAPER-FR-0009-th:cert","Exactitud del certificado dentro de su modelo","archive-only"
"paper/megajuego.tex","L653-L664","th:robusto","teorema","Define rho_W como el mayor delta cuya bola perturbada está incluida; supone sin decirlo que ese supremo se alcanza.","Conjunto de wrench normalizado convexo; Lambda se había definido no acotado.","Normalizado mediante S_W; delta adimensional.","TAUTOLOGICAL_AND_FLAWED","Definición de rho_W; función soporte.","La equivalencia repite la definición. Además, la prueba llama compacto a Lambda=R_+^m, que no lo es.","NONE","NONE","NOT_FORMAL","No aporta una proposición independiente y contiene una premisa topológica incorrecta; puede conservarse como definición de margen, no como teorema.","formal_audit_a","PAPER-FR-0010-th:robusto","Interpretación robusta exacta del margen","background-only"
